Country|Location|Country_ID_for_study|Continent_or_Island|Citation|PMID_or_DOI|Year_published|Collected|CohortCharacteristics|Size_of_cohort|Size_of_cohort_ext|Age_of_cohort|Anti-HBc_and_HBsAg negative_prevalence |Estimated_susceptible_population|African_Region|Anti-Hbc_prevalence|HbsAg_prevalence|Anti-Hbc_HbsAg_ratio|Country_agg|Anti-Hbc_prevalence_country|HbsAg_prevalence_country|Estimated_susceptible_population_country|HbcAb_includes_HBsAg|Study_Weight|Number
Tunisia|l’hôpital Aziza-Othmana|Tunisia 3|Continent|Clinique et Biologique 12 (2005) 301–305|DOI:10.1016/j.tracli.2005.07.001|2005|NK|Haemophiliacs|70|70|Mean 19.0|45.8|47.1|North|0.53|0.07|7.45|||||yes|0.67|0.01
Tunisia|Hospital of Monastir|Tunisia 4|Continent |Med Mal Infect. 2018 May;48(3):175-179.|10.1016/j.medmal.2017.11.006|2018|2012-2014|Haemodialysis patients (established)|109|109|Mean 50 years ± 14.7|4.8|91.5|North|0.09|0.04|2.3|||||Yes|1.05|0.01
Uganda|Kampala and Entebbe|Uganda 1|Continent|AIDS. 2017, March 21,Price et al, epub|DOI: 10.1097/QAD.0000000000001454|2017|NK|HIV positive|2317|2317|Median 36.0|46|48|East|0.52|0.06|8.67|Uganda|54.03|10.08|45.97|yes|21.28|0.21
Uganda|Kitgum District|Uganda 2|Continent|Vaccine, Vol 33, Issue 46, 6161–6163|DOI: 10.1016/j.vaccine.2015.09.058|2015|2008|HEV outbreak samples|656|656|NK|48.7|36.4|East|0.64|0.15|4.27|||||yes|6.03|0.06
Uganda|Gulu Municipality|Uganda 3|Continent|BMC Public Health 2013 13:727|DOI: 10.1186/1471-2458-13-727|2013|2010|Cross-sectional|790|790|NK|54.8|27.6|East|0.72|0.18|4.11|||||yes|7.26|0.07
Uganda|Mulago|Uganda 4|Continent|BMC Infectious Diseases 2010, 10:191|DOI: 10.1186/1471-2334-10-191|2010|2003|Healthcare workers|370|370|Mean 36.4|40|51.9|East|0.48|0.08|5.94|||||yes|3.4|0.03
Uganda||Uganda 5|Continent|African Health Sciences Vol 9 No 2 June 2009|PubMed ID: 19652743|2009|2005 onwards|Cross-sectional |5875|5875|NK|42|47.7|East|0.52|0.1|5.08|||||yes|53.97|0.54
Uganda|Southwestern Uganda|Uganda 6|Continent|J Med Virol. 2011 May; 83(5): 796–800.|DOI: 10.1002/jmv.22051|2011|1998|Cross-sectional |138|138|Median 40.0|36|59|East|0.41|0.05|8.2|||||Yes|1.27|0.01
Uganda|Mulago|Uganda 7|Continent|East Afr Med J. 2002 Feb;79(2):68-72.|PMID: 12380879|2002|1999-2000|HIV positive|129|129|Mean 34.4|47.3|34.9|East|0.65|0.18|3.66|||||Yes|1.19|0.01
Uganda|Mulago|Uganda 8|Continent|East Afr Med J. 2002 Feb;79(2):68-72.|PMID: 12380879|2002|1999-2000|HIV negative|129|129|Mean 34.4|28.8|58.1|East|0.42|0.13|3.2|||||Yes|1.19|0.01
Uganda|Makerere|Uganda 9|Continent|Afr Health Sci. 2005 Jun;5(2):93-8.|PMID: 16006214|2005|2001-2002|Students|182|182|NK (mostly <24)|54.9|34.1|East|0.66|0.11|5.99|||||Yes|1.67|0.02
Uganda|Gulu Municipality|Uganda 10|Continent|Afr Health Sci. 2015 Jun; 15(2): 328–333.|DOI: 10.4314/ahs.v15i2.4|2015|2013|HIV positive|300|300|Mean 35.65 |34.3|59|East|0.41|0.07|6.12|||||yes|2.76|0.03
Western Sahara||Western Sahara|Continent*|||||||||||North||||Western Sahara||||||
Zambia|Lusaka|Zambia|Continent|East Afr Med J. 1995 Dec;72(12):813-5.|PMID: 8689985|1995|NK|Antenatal|2098|2098|NK|51.3|42.2|East|0.58|0.07|8.89|Zambia|57.8|6.5|42.2|yes|100|1
Zimbabwe|Harare|Zimbabwe|Continent|AIDS. 2017, March 21,Price et al, epub|DOI: 10.1097/QAD.0000000000001454|2017|NK|HIV positive|999|999|Median 36.0|39.6|43.7|East|0.56|0.17|3.37|Zimbabwe|56.3|16.7|43.7|yes|100|1
